RK,Team,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,3PR,3PRD,ADJ_T,WAB,SEED
212,Marshall,SB,32,19,111.9,115.7,.4056,54.8,50.3,16.6,16.3,31.9,33.8,29.2,41.1,54.6,50.3,36.8,33.6,44.3,39.6,69.4,-8.5,
213,San Diego,WCC,33,12,108.5,112.2,.4040,51.2,54.7,17.5,18.9,28.1,34.5,25.8,38.8,50.8,58.5,34.6,32.7,43.7,40.1,68.1,-13.4,
214,San Jose St.,MWC,33,9,112.7,116.6,.4038,49.7,57.1,15.1,17.4,29.3,36.5,33.4,35.3,47.6,59.1,35.3,36.0,38.3,39.3,65.0,-14.0,
215,La Salle,A10,32,9,106.0,109.6,.4033,45.4,55.0,18.2,17.1,33.7,32.4,37.5,31.5,45.6,55.1,30.0,36.5,31.5,42.2,65.7,-14.8,
216,Drake,MVC,34,14,109.5,113.3,.4029,51.4,52.6,15.0,14.6,26.6,29.9,33.5,32.0,51.7,51.1,34.0,36.4,45.7,43.3,67.1,-13.6,
217,Cal Poly,BW,33,14,109.4,113.3,.4007,51.5,53.8,19.9,16.2,30.0,29.6,34.9,34.1,53.7,55.0,33.0,34.7,52.6,40.8,74.1,-12.5,
218,Tennessee St.,OVC,32,23,107.8,111.9,.3935,50.1,51.2,16.5,20.0,34.9,29.9,33.5,41.6,49.9,51.8,33.7,33.5,30.7,36.0,70.1,-5.7,
219,Buffalo,MAC,32,17,111.2,115.7,.3880,55.4,55.1,16.1,17.9,27.1,31.1,39.6,31.4,54.1,56.9,37.9,35.1,45.5,42.0,66.4,-10.4,
220,Quinnipiac,MAAC,32,19,103.7,107.9,.3874,48.2,48.9,15.9,17.4,34.1,32.0,33.8,30.6,46.7,47.1,34.0,34.9,33.7,35.4,70.1,-8.6,
221,Southern Miss,SB,35,19,104.5,108.8,.3869,49.0,51.4,18.4,17.8,32.5,28.8,43.2,43.6,51.3,51.1,28.9,34.5,28.7,39.4,69.1,-11.0,
222,South Dakota St.,Sum,32,14,107.5,111.9,.3865,52.0,51.8,16.1,14.5,30.3,25.1,29.7,34.5,52.7,52.4,34.0,34.1,38.8,47.0,67.0,-12.7,
223,Western Carolina,SC,31,15,109.4,114.0,.3824,50.4,54.9,16.8,14.5,35.4,26.3,31.3,37.8,50.6,54.8,33.5,36.7,40.9,43.7,67.9,-10.7,
