RK,Team,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,3PR,3PRD,ADJ_T,WAB,SEED
1,Duke,ACC,34,32,128.2,90.8,.9814,56.8,46.2,15.7,18.1,38.1,24.8,37.8,23.7,60.1,46.6,35.1,30.4,44.4,45.7,65.8,+13.7,
2,Michigan,B10,33,31,127.7,90.5,.9811,58.2,44.4,16.9,15.8,35.4,27.8,38.6,25.9,61.1,43.8,36.2,30.2,41.9,42.3,71.4,+14.2,
3,Arizona,B12,34,32,126.9,91.4,.9776,55.1,45.0,15.1,16.7,38.1,26.9,42.9,27.7,55.4,43.8,36.0,31.4,26.8,37.2,70.0,+13.7,
4,Florida,SEC,33,26,126.1,92.3,.9732,53.5,46.3,16.5,15.4,43.2,24.8,39.1,34.0,57.9,45.2,30.8,32.4,37.1,33.7,70.4,+8.5,
5,Houston,B12,34,28,125.4,92.4,.9710,52.1,46.6,13.0,21.0,35.9,30.9,26.9,39.0,51.9,45.5,34.9,32.1,40.8,40.9,63.3,+9.0,
6,Illinois,B10,32,24,132.0,98.2,.9676,55.1,47.6,13.2,11.6,38.7,27.0,32.9,20.6,58.2,48.0,34.7,31.4,50.7,42.2,65.7,+6.6,
7,Iowa St.,B12,34,27,123.8,92.6,.9655,56.5,49.5,15.1,22.4,35.3,28.1,34.0,27.9,55.5,50.5,38.7,32.1,38.8,42.8,66.9,+7.4,
8,Purdue,B10,34,26,132.6,100.3,.9613,57.7,52.3,13.8,15.7,36.7,26.2,28.3,26.6,58.0,52.9,38.1,34.3,41.4,45.2,64.6,+8.3,
9,Connecticut,BE,34,29,123.1,95.0,.9518,55.3,45.7,16.8,18.0,35.7,28.7,30.0,40.2,57.1,45.8,35.2,30.3,40.3,36.2,64.6,+8.8,
10,Vanderbilt,SEC,34,26,127.4,99.3,.9462,55.3,48.8,13.3,17.9,31.2,31.6,38.2,41.0,56.8,49.1,35.5,32.2,43.6,37.9,69.0,+7.3,
11,Gonzaga,WCC,33,30,120.3,94.0,.9446,56.3,46.2,13.7,20.5,34.8,25.9,31.1,31.0,58.7,46.2,34.0,30.8,31.0,43.7,68.9,+7.4,
12,Michigan St.,B10,32,25,122.9,96.2,.9440,53.6,48.6,17.1,14.8,38.5,22.6,36.2,30.9,53.4,48.0,35.9,32.9,36.4,46.0,66.0,+7.4,
13,Texas Tech,B12,32,22,126.3,98.8,.9440,56.2,49.4,15.9,14.7,33.3,30.1,27.1,31.6,53.6,50.6,39.3,31.5,48.0,35.0,66.4,+5.0,
14,Virginia,ACC,34,29,122.2,95.8,.9428,54.6,45.3,16.0,15.6,37.9,29.2,33.0,33.0,55.2,44.7,35.9,30.9,46.5,37.5,65.6,+7.8,
15,St. John's,BE,34,28,119.8,94.1,.9415,51.0,47.4,14.7,19.4,35.9,30.2,41.9,31.8,51.6,47.5,33.2,31.3,33.8,33.7,69.6,+7.3,
16,Tennessee,SEC,33,22,121.5,95.5,.9408,51.6,47.7,17.1,16.3,45.1,27.9,38.7,36.2,52.2,49.2,33.4,30.6,31.7,44.4,65.2,+4.1,
17,Louisville,ACC,33,23,124.0,98.2,.9365,56.4,48.8,16.4,16.7,32.9,26.9,33.5,33.4,59.7,48.6,35.7,32.7,52.8,39.1,69.7,+4.0,
18,Alabama,SEC,32,23,129.5,102.8,.9343,55.4,49.2,13.0,12.6,31.8,32.8,37.2,32.7,57.3,48.6,35.8,33.5,53.7,35.1,73.0,+6.5,
19,Arkansas,SEC,34,26,127.9,101.7,.9336,56.5,51.4,12.3,15.7,32.2,31.2,36.4,31.3,55.6,53.7,38.9,31.7,33.4,38.2,71.0,+7.5,
20,Nebraska,B10,32,26,117.3,93.5,.9311,55.4,47.8,14.4,19.2,26.3,27.7,27.2,24.8,58.1,50.6,35.3,29.9,50.7,49.3,66.8,+7.4,
21,Wisconsin,B10,34,24,127.2,101.7,.9295,54.5,51.3,12.8,14.4,29.4,28.2,31.9,30.5,54.8,52.3,36.1,33.3,52.6,40.2,68.7,+5.4,
22,Kansas,B12,33,23,117.9,94.4,.9280,51.6,45.2,15.5,14.0,29.5,30.1,32.6,27.7,51.1,44.7,35.0,30.7,35.7,42.0,67.6,+6.3,
23,Ohio St.,B10,33,21,125.3,101.6,.9174,56.5,50.3,15.4,15.8,30.8,30.0,37.8,35.1,58.2,52.3,36.0,31.6,40.1,40.3,66.1,+2.9,
24,Saint Mary's,WCC,32,27,119.4,97.6,.9106,52.9,46.7,16.4,15.2,37.6,23.8,35.8,25.7,50.2,46.6,38.6,31.2,36.1,36.8,65.3,+4.0,
25,UCLA,B10,34,23,124.5,101.8,.9105,53.9,50.4,13.4,18.1,31.1,32.4,33.1,34.7,52.0,52.7,38.2,31.8,35.9,44.7,64.7,+3.6,
26,Iowa,B10,33,21,122.1,100.2,.9068,56.6,52.7,15.2,21.0,30.1,28.0,34.5,39.1,58.7,54.0,35.7,33.7,41.6,39.1,63.0,+1.9,
27,North Carolina,ACC,32,24,121.5,100.0,.9031,54.6,48.2,14.0,13.6,31.4,28.1,37.4,23.8,56.7,46.1,34.5,34.5,42.3,36.9,68.0,+4.9,
28,Santa Clara,WCC,34,26,125.0,103.7,.8955,54.6,51.8,15.6,20.1,36.7,32.3,25.8,38.3,56.5,53.2,34.9,33.0,45.0,38.2,69.3,+2.1,
29,Utah St.,MWC,34,28,123.0,102.1,.8953,56.6,49.6,15.4,20.6,33.1,32.2,38.7,38.9,59.3,48.7,35.1,33.9,40.7,40.9,67.5,+4.0,
30,Clemson,ACC,34,24,116.5,96.9,.8926,52.6,48.9,14.2,17.5,28.1,25.7,37.1,33.1,53.8,49.0,34.1,32.6,42.9,42.9,64.3,+3.2,
31,Kentucky,SEC,34,21,119.9,100.0,.8900,53.1,48.8,15.0,15.8,33.8,30.1,37.5,37.0,54.4,49.6,34.1,31.6,39.2,39.5,68.3,+3.3,
32,Cincinnati,B12,33,18,112.3,93.7,.8894,50.5,47.3,17.0,18.2,30.6,27.3,29.4,30.0,50.2,47.9,33.9,31.0,43.8,39.9,67.6,-2.0,
33,BYU,B12,34,23,124.7,104.3,.8866,54.7,51.2,15.3,16.5,34.6,29.3,34.2,28.9,56.2,50.0,34.9,35.3,39.8,39.2,69.8,+4.5,
34,Indiana,B10,32,18,121.9,102.1,.8851,56.1,49.0,15.1,15.1,26.9,29.3,35.0,37.0,60.3,48.6,34.7,33.1,50.5,36.8,66.2,-0.43,
35,Miami FL,ACC,33,25,121.1,101.5,.8843,55.6,51.7,16.2,18.4,37.0,26.3,37.5,29.0,57.2,50.8,34.7,35.4,31.7,40.9,67.9,+3.8,
36,Villanova,BE,32,24,119.6,100.5,.8808,53.7,51.3,15.1,18.7,32.4,31.7,31.3,28.9,54.4,51.5,35.3,33.9,45.7,36.9,64.9,+3.9,
37,Georgia,SEC,32,22,124.3,104.8,.8775,54.6,50.1,14.3,18.4,35.2,34.9,37.0,30.8,57.3,49.9,34.1,33.7,43.9,37.6,72.0,+2.6,
38,N.C. State,ACC,33,20,124.1,104.6,.8767,55.3,53.0,13.1,18.2,28.5,30.3,35.2,36.5,53.1,52.7,38.8,35.6,43.9,45.3,69.1,+0.34,
39,Texas A&M,SEC,32,21,119.9,101.4,.8730,54.2,50.8,14.6,18.3,32.3,32.5,37.4,35.6,54.1,53.1,36.2,31.7,46.3,41.5,71.0,+1.6,
40,Oklahoma,SEC,34,19,125.1,105.9,.8727,55.1,51.2,14.4,15.3,33.6,33.0,35.9,34.0,55.0,51.1,36.8,34.2,43.8,39.7,66.1,-0.48,
41,Auburn,SEC,33,17,124.2,105.8,.8636,52.3,53.6,14.7,16.3,37.6,32.1,44.7,35.4,53.4,52.8,33.8,36.5,39.2,39.8,67.3,+0.17,
42,SMU,ACC,33,20,123.0,105.0,.8615,55.7,51.4,15.9,17.1,35.4,31.6,30.6,32.0,55.5,52.0,37.4,33.9,36.0,47.2,68.6,-0.02,
43,Saint Louis,A10,33,28,119.6,102.2,.8584,59.7,44.8,17.4,16.1,31.1,27.0,34.7,37.2,58.9,44.6,40.5,30.0,45.1,41.6,71.0,+1.9,
44,San Diego St.,MWC,33,22,112.2,96.1,.8562,52.7,48.2,17.2,20.3,29.5,31.1,39.0,38.5,53.2,46.2,34.5,33.6,33.8,47.3,68.6,-0.09,
45,Texas,SEC,32,18,124.1,106.4,.8541,54.2,51.2,15.3,13.4,35.7,26.9,46.2,40.7,55.3,49.8,34.9,36.0,36.2,33.3,67.1,-0.21,
46,Missouri,SEC,32,20,119.9,103.0,.8515,55.3,51.4,18.0,16.6,35.5,31.4,42.5,35.1,56.9,48.9,35.0,36.5,36.0,43.1,66.4,+1.1,
47,Baylor,B12,32,16,123.3,106.5,.8433,53.8,52.5,16.5,16.1,37.5,32.2,34.8,30.2,55.2,52.2,34.5,35.5,39.6,34.7,67.8,-2.2,
48,VCU,A10,34,27,119.3,103.1,.8425,54.1,48.9,15.2,17.2,32.3,29.9,43.7,33.1,53.3,48.4,36.7,33.1,43.8,34.7,68.7,+1.7,
49,TCU,B12,33,22,114.9,99.6,.8367,50.9,51.0,15.5,19.7,34.4,29.2,38.7,30.4,51.6,51.3,33.1,33.7,36.9,38.1,67.6,+2.4,
50,Florida St.,ACC,33,18,119.4,103.9,.8315,52.3,52.2,15.2,19.0,30.8,34.1,34.7,32.7,55.1,52.5,33.1,34.6,50.6,44.9,70.6,-1.8,
51,South Florida,Amer,32,24,117.2,102.2,.8279,51.2,48.7,15.2,18.8,38.4,31.9,41.2,38.9,52.1,46.9,33.3,34.3,44.0,39.6,71.5,-0.6,
52,Washington,B10,33,16,116.8,102.2,.8227,51.2,50.2,15.3,14.3,34.6,28.5,30.1,31.0,53.4,50.0,31.5,33.6,34.6,38.2,67.0,-3.0,
53,New Mexico,MWC,33,23,116.4,102.1,.8199,53.6,49.6,15.3,19.1,30.3,27.6,36.2,34.9,53.3,53.6,36.1,30.3,41.8,48.1,69.8,-0.40,
54,Virginia Tech,ACC,32,19,117.6,103.1,.8197,52.2,50.8,14.9,17.2,31.9,32.6,34.0,28.8,51.5,54.1,35.5,30.6,39.7,39.6,67.2,-0.8,
55,Grand Canyon,MWC,32,20,111.1,97.5,.8172,51.7,47.4,17.6,17.3,31.3,25.3,39.5,39.0,54.2,47.2,31.8,31.9,38.9,38.2,68.0,-3.1,
56,Boise St.,MWC,32,20,118.1,103.8,.8155,52.2,52.7,16.9,14.5,33.2,23.6,42.7,32.1,52.7,53.3,34.3,34.4,43.1,36.8,65.7,-2.1,
57,Minnesota,B10,32,15,116.0,102.1,.8121,54.2,51.9,16.6,17.1,27.2,29.8,35.9,27.3,56.0,51.7,34.8,34.7,47.1,41.7,62.6,-3.9,
58,UCF,B12,32,21,120.0,105.7,.8119,52.8,52.4,15.7,15.8,34.4,28.5,30.8,35.2,52.1,53.2,36.2,34.0,34.4,39.7,69.1,+2.1,
59,Stanford,ACC,32,20,117.0,103.7,.8014,51.7,51.2,15.5,18.3,32.3,30.1,35.7,40.3,50.4,51.5,35.6,33.7,44.2,33.5,67.0,-0.9,
60,Seton Hall,BE,33,21,108.7,96.3,.8012,47.6,47.3,16.7,21.5,35.6,31.9,35.3,42.1,48.3,46.3,30.5,32.4,26.8,42.2,65.2,-0.27,
61,Arizona St.,B12,33,17,115.2,102.4,.7961,51.1,52.4,17.1,18.5,29.8,34.9,39.5,34.3,51.7,52.3,33.4,35.0,38.4,40.3,69.2,-1.0,
62,West Virginia,B12,32,18,108.5,96.6,.7917,51.1,48.3,17.5,18.1,31.0,29.0,35.5,29.2,52.5,45.7,32.8,35.0,42.9,38.1,62.5,-1.9,
63,Northwestern,B10,34,15,116.5,103.8,.7901,51.7,51.0,13.0,17.5,28.1,34.7,33.9,34.8,52.9,51.6,33.0,33.4,34.0,40.2,65.1,-3.7,
64,Mississippi,SEC,35,15,114.1,101.7,.7894,50.4,50.5,14.0,16.4,28.3,32.6,33.0,41.2,50.8,50.8,33.2,33.4,35.5,42.6,66.1,-4.5,
65,Tulsa,Amer,33,26,120.9,108.1,.7825,56.5,49.9,15.2,15.5,32.0,29.0,40.9,32.0,54.3,49.6,39.4,33.5,46.5,40.1,67.8,-1.0,
66,USC,B10,32,18,113.1,101.3,.7805,50.4,49.7,17.4,16.3,32.4,32.2,44.2,33.4,51.8,52.0,31.7,30.9,34.1,40.4,70.7,-0.9,
67,Wake Forest,ACC,33,17,117.9,105.6,.7795,52.6,52.0,15.4,17.8,29.7,32.9,35.1,36.2,53.3,54.2,34.4,33.0,43.7,46.8,68.3,-2.9,
68,California,ACC,32,21,113.8,102.1,.7759,52.2,49.6,15.0,16.1,25.8,30.3,37.3,37.2,50.5,51.9,36.3,30.9,42.7,41.4,67.9,-0.6,
69,LSU,SEC,32,15,118.8,106.7,.7744,52.8,50.9,15.6,13.9,33.1,31.7,40.9,37.8,54.5,49.5,33.1,35.4,34.5,37.9,66.6,-4.3,
70,Northern Iowa,MVC,35,23,109.7,98.6,.7741,54.2,47.2,14.6,18.1,22.0,26.3,25.7,29.3,55.3,50.0,34.9,28.9,39.6,41.5,62.2,-5.3,
71,Akron,MAC,34,29,117.2,105.3,.7723,58.5,50.6,15.5,18.4,33.5,29.9,29.1,30.3,59.1,49.0,38.5,35.1,45.1,43.2,70.3,-0.22,
72,Butler,BE,32,16,117.2,105.6,.7687,50.9,51.9,15.9,15.1,34.6,30.0,42.1,24.9,51.9,53.1,32.7,33.3,34.9,37.5,68.9,-4.2,
73,McNeese St.,Slnd,33,28,113.2,102.2,.7643,51.0,48.9,14.3,24.6,35.0,35.0,38.3,42.1,52.9,49.1,31.6,32.5,35.1,46.8,66.1,+0.7,
74,Providence,BE,33,15,120.9,109.2,.7636,55.0,51.4,16.7,13.1,31.7,30.8,36.7,32.7,55.3,50.4,36.4,35.3,40.5,38.5,71.3,-5.1,
75,Oklahoma St.,B12,33,19,118.5,107.2,.7597,52.1,52.9,15.9,16.0,31.3,30.7,39.4,32.5,52.8,52.6,33.8,35.5,35.9,42.7,72.2,-0.8,
76,Colorado,B12,32,17,118.0,106.8,.7586,53.2,52.9,14.5,15.4,29.0,29.8,35.8,36.3,53.3,51.6,35.3,36.8,35.1,35.8,68.6,-2.7,
77,Marquette,BE,32,12,111.8,101.2,.7584,50.5,50.6,16.0,19.3,29.7,34.7,32.8,32.0,52.7,51.5,31.7,32.7,42.2,39.5,69.2,-7.4,
78,Georgetown,BE,34,16,114.0,103.3,.7570,49.6,49.9,15.8,16.2,32.5,31.5,37.3,33.9,50.7,50.0,31.8,33.3,35.2,41.2,66.2,-4.9,
79,Nevada,MWC,34,22,114.5,103.8,.7563,49.7,51.0,14.9,17.4,32.1,27.2,46.6,40.3,47.5,51.0,36.2,34.1,32.3,42.4,66.0,-2.0,
80,Belmont,MVC,32,26,120.1,109.0,.7535,61.0,49.9,18.1,17.4,28.8,29.2,32.5,30.7,60.6,48.5,41.0,34.2,45.7,49.1,69.0,-0.6,
81,Syracuse,ACC,32,15,115.2,104.7,.7501,52.6,50.3,16.0,17.4,29.2,33.6,35.1,32.6,54.5,49.8,32.9,34.1,37.2,35.9,67.4,-4.5,
82,Dayton,A10,34,23,110.1,100.1,.7488,51.7,50.9,17.4,21.2,27.0,29.2,47.1,35.7,52.1,49.1,34.1,35.6,41.5,41.0,67.0,-1.5,
83,George Washington,A10,33,18,117.4,106.9,.7446,54.6,52.3,17.9,17.8,36.2,28.1,35.5,34.9,56.5,53.7,35.0,33.6,46.7,43.2,69.3,-7.7,
84,Wichita St.,Amer,32,22,112.2,102.4,.7408,49.8,47.4,14.8,16.0,38.5,29.3,36.1,34.5,49.3,47.9,33.9,31.1,34.1,33.7,66.3,-3.3,
85,Creighton,BE,32,15,114.9,105.4,.7307,53.1,51.1,16.5,14.0,27.5,29.7,27.5,24.6,54.3,50.2,34.5,35.4,48.2,32.0,67.3,-4.0,
86,Miami OH,MAC,32,31,116.7,107.6,.7177,59.2,50.8,14.5,17.5,25.3,28.1,40.2,30.9,61.5,51.6,37.5,33.0,44.6,36.8,69.9,+2.5,
87,Utah Valley,WAC,33,25,112.3,103.6,.7167,55.1,49.0,20.2,21.2,34.8,31.4,38.2,39.3,57.1,47.5,33.9,34.8,32.7,32.9,68.6,-2.7,
88,Colorado St.,MWC,33,21,118.2,109.1,.7147,58.0,53.1,18.6,15.3,30.0,29.0,39.6,34.2,57.3,54.4,39.1,34.3,49.0,43.1,63.0,-3.0,
89,Stephen F. Austin,Slnd,33,28,112.5,104.0,.7118,51.7,47.9,14.1,17.6,33.9,28.6,30.4,30.0,50.2,49.2,36.0,30.4,39.6,35.0,65.7,-0.9,
90,Oregon,B10,32,12,111.8,103.5,.7075,49.5,50.9,17.6,15.7,32.3,32.3,35.0,32.0,50.5,51.5,32.1,33.4,42.8,42.1,65.9,-6.3,
91,Hofstra,CAA,34,24,113.2,105.0,.7043,51.5,45.9,16.1,15.0,34.9,30.5,32.5,35.4,48.6,44.2,36.8,32.3,43.1,40.6,64.7,-4.7,
92,Yale,Ivy,30,24,118.8,110.4,.6997,56.1,52.0,14.0,16.4,33.8,29.2,35.2,27.1,54.0,51.7,39.9,34.9,36.0,45.3,64.7,-1.5,
93,High Point,BSth,34,30,115.7,107.5,.6987,54.7,50.1,13.0,21.9,32.1,31.7,42.9,36.4,57.1,51.6,34.4,31.9,42.9,41.4,69.9,-1.4,
94,Xavier,BE,33,15,117.2,109.3,.6923,51.8,54.1,13.9,15.5,26.5,29.5,28.1,32.6,49.8,55.3,36.5,34.8,40.6,36.9,70.3,-5.0,
95,Wyoming,MWC,32,18,115.1,107.4,.6891,52.0,52.2,16.4,16.7,34.7,27.5,35.6,48.4,54.1,53.7,32.9,33.0,43.0,36.2,66.0,-5.3,
96,Cal Baptist,WAC,33,25,107.5,100.3,.6888,48.6,46.4,18.1,17.1,37.8,27.2,36.1,37.1,47.7,47.3,33.7,29.7,32.1,31.7,65.9,-2.3,
97,Notre Dame,ACC,31,13,115.0,107.4,.6881,52.3,51.8,17.0,14.0,31.2,26.7,34.1,36.2,51.4,53.6,35.6,33.2,43.5,47.4,66.0,-5.6,
98,Saint Joseph's,A10,33,22,108.4,101.3,.6852,49.3,47.6,16.9,15.2,31.4,30.9,30.4,26.3,51.9,47.5,30.8,31.8,45.3,39.9,68.0,-4.0,
99,Mississippi St.,SEC,32,13,112.9,105.5,.6852,51.5,50.9,16.1,12.8,29.8,30.7,30.7,32.3,53.4,51.0,32.4,33.9,40.1,39.5,69.5,-5.6,
100,South Carolina,SEC,32,13,111.8,104.6,.6814,50.3,51.6,14.5,14.6,27.2,32.1,36.7,34.0,53.2,53.7,31.1,31.8,44.4,35.8,66.3,-6.2,
101,DePaul,BE,32,16,106.8,100.0,.6805,49.8,49.3,17.8,18.6,30.0,31.1,35.3,37.8,50.5,47.3,32.5,35.4,39.0,33.9,66.5,-5.1,
102,Pittsburgh,ACC,33,13,112.6,105.6,.6782,51.0,53.4,17.3,16.2,33.9,28.1,30.4,30.9,51.7,53.7,33.4,35.2,42.6,41.0,63.6,-7.2,
103,Kansas St.,B12,32,12,112.7,105.6,.6779,53.3,52.5,17.4,17.1,29.2,33.9,26.9,35.2,52.4,53.7,36.4,33.7,40.9,38.6,72.7,-6.7,
104,Seattle,WCC,33,20,102.6,96.4,.6708,49.4,48.3,17.0,21.1,24.6,31.8,34.5,32.9,49.7,48.2,32.6,32.4,39.0,37.4,67.7,-5.4,
105,Davidson,A10,33,20,110.2,103.7,.6674,52.6,50.4,16.1,17.8,28.6,30.4,31.8,36.6,52.2,51.6,35.3,32.3,44.0,37.1,63.6,-5.8,
106,Sam Houston St.,CUSA,33,22,113.9,107.2,.6672,52.4,51.0,16.7,16.4,36.0,30.0,34.7,37.1,50.4,52.9,37.3,32.3,36.0,41.6,70.0,-5.3,
107,Pacific,WCC,33,18,110.5,104.1,.6651,52.2,50.0,20.1,15.1,35.3,25.0,30.5,36.3,51.3,48.5,35.8,34.7,35.3,42.8,64.4,-6.8,
108,UC Irvine,BW,34,23,104.5,98.6,.6597,49.7,45.4,17.9,18.5,31.1,31.5,35.8,26.8,49.2,42.7,33.9,33.3,28.2,37.8,68.1,-5.9,
109,UNLV,MWC,33,17,115.5,109.1,.6571,53.3,52.6,16.9,17.3,31.0,31.5,41.7,45.3,53.6,52.3,35.3,35.4,35.9,36.8,69.9,-6.0,
110,Illinois St.,MVC,32,20,109.2,103.4,.6515,53.6,50.0,16.8,16.4,28.6,25.3,31.8,33.1,54.6,49.9,34.8,33.4,42.4,34.5,66.8,-5.8,
111,Illinois Chicago,MVC,34,19,109.6,103.8,.6512,49.7,49.9,17.6,19.6,36.5,32.1,36.5,34.3,50.7,50.6,31.7,32.7,33.0,46.3,66.3,-8.6,
112,St. Thomas,Sum,33,24,113.9,107.9,.6508,59.4,50.9,13.8,17.1,22.3,27.1,34.4,30.4,63.6,53.5,36.4,31.4,46.5,41.2,68.4,-5.0,
113,Maryland,B10,33,12,111.7,105.9,.6493,48.1,54.4,18.6,14.9,33.8,29.1,36.4,35.8,48.6,54.4,31.7,36.3,46.9,43.1,66.3,-5.4,
114,North Dakota St.,Sum,34,27,111.4,106.0,.6393,53.4,51.5,15.6,18.7,33.6,25.7,30.7,29.1,53.2,52.6,35.7,33.5,42.7,44.4,66.3,-3.4,
115,Utah,B12,32,10,114.8,109.4,.6370,52.0,53.9,16.7,13.3,29.3,31.6,31.7,29.9,51.5,54.6,35.3,35.1,37.5,33.8,66.3,-8.8,
116,Hawaii,BW,32,24,106.9,101.8,.6358,52.0,46.4,18.9,16.9,31.4,25.0,42.4,36.1,55.0,46.6,31.6,30.7,39.7,32.4,69.6,-3.7,
117,Rutgers,B10,33,14,110.9,105.9,.6299,47.5,53.0,15.1,17.1,29.8,33.1,36.1,31.4,46.6,52.5,32.8,35.8,34.6,39.0,66.7,-5.4,
